Symbol,FoldChange,Pval,Gene
4490,3.92,0.0027,MT1B
4493,3.07,0.0002,MT1E
4495,2.54,0.0099,MT1G
4496,3,0.0028,MT1H
4500,2.68,0.015,MT1L
4501,3.33,0.0018,MT1X
4502,5.1,0.0007,MT2A
4599,20.6,3.44E-06,MX1
4601,-5.61,2.53E-06,MXI1
91663,2.54,0.0076,MYADM
10627,2.78,3.92E-07,MYL12A
4635,-2.51,0.0183,MYL4
4650,2.95,0.0051,MYO9B
10135,-2.33,0.0124,NAMPT
26502,-2.15,1.08E-05,NARF
23218,-2.39,2.55E-05,NBEAL2
54820,-3.65,1.03E-09,NDE1
150372,-2.01,0.0042,NFAM1
152518,-2.29,7.95E-06,NFXL1
4818,4.22,4.64E-06,NKG7
80896,-2.09,0.0002,NPL
8131,-2.87,0.0146,NPRL3
4835,-2.75,0.0001,NQO2
4938,16.81,6.80E-07,OAS1
4939,9.72,4.68E-06,OAS2
4940,10.96,6.94E-07,OAS3
8638,4.49,4.94E-05,OASL
4953,-2.26,5.12E-05,ODC1
343171,-3.96,2.34E-05,OR2W3
23762,-5.03,0.0003,OSBP2
28962,2,0.001,OSTM1
9934,-2.59,0.0009,P2RY14
11240,-3.06,0.0007,PADI2
64761,2.42,0.0007,PARP12
79668,3.8,8.62E-07,PARP8
83666,2.16,0.0268,PARP9
5111,2.09,4.79E-05,PCNA
10158,-4.26,0.0059,PDZK1IP1
5196,-2.87,0.0279,PF4
5197,-2.05,0.0258,PF4V1
1912,-2.46,0.003,PHC2
5266,-25.69,2.34E-07,PI3
5305,-2.37,0.0027,PIP4K2A
57095,-3.33,0.0002,PITHD1
5325,-2.49,4.45E-07,PLAGL1
26499,-2.58,0.0003,PLEK2
5347,2.12,0.0006,PLK1
64748,-2.4,0.0004,PLPPR2
5359,4.14,0.0013,PLSCR1
10154,-2.23,0.0002,PLXNC1
5430,-2.03,0.027,POLR2A
5473,-3.67,0.0006,PPBP
5494,-2.15,0.0001,PPM1A
79660,-2.44,4.70E-05,PPP1R3B
5534,-2.29,3.81E-05,PPP3R1
9588,-2.03,0.024,PRDX6
5551,2.32,7.54E-05,PRF1
5616,2.05,0.018,PRKY
9491,-4,3.25E-05,PSMF1
5724,-2.5,2.57E-05,PTAFR
5757,2.16,1.20E-06,PTMA
5836,-2.83,7.48E-06,PYGL
84932,-2.05,0.0076,RAB2B
11031,-2.43,0.0002,RAB31
57610,-3.67,0.0006,RANBP10
5920,2.1,0.003,RARRES3
55544,-3.76,0.001,RBM38
3516,-2.03,0.0019,RBPJ
5990,-2.47,6.12E-08,RFX2
5863,-2.24,0.0001,RGL2
6001,-2.01,0.0239,RGS10
5997,-2.66,0.0146,RGS2
54453,2.16,3.30E-05,RIN2
8780,-4.69,1.89E-05,RIOK3
6036,2.93,0.0082,RNASE2
9921,-2.57,0.0216,RNF10
26994,-2.63,0.0011,RNF11
11237,-2.04,0.0158,RNF24
83853,-2.09,0.0003,ROPN1L
6103,-3.13,1.34E-07,RPGR
22934,-2.15,0.0005,RPIA
9252,-2.71,0.0004,RPS6KA5
6241,4.49,5.38E-08,RRM2
91543,27.98,1.45E-05,RSAD2
64108,3.38,4.84E-05,RTP4
6275,2.11,3.35E-05,S100A4
54809,3.08,0.0159,SAMD9
219285,2.68,0.0152,SAMD9L
677781,-2.82,5.13E-06,SCARNA16
6386,-2.02,0.0004,SDCBP
6397,-2.82,5.13E-06,SEC14L1
8991,-3.43,0.0031,SELENBP1
64218,-2.4,0.0021,SEMA4A
710,3.99,0.0153,SERPING1
143686,-2.14,0.0004,SESN3
7536,-2.23,9.14E-06,SF1
83699,-2.16,0.0029,SH3BGRL2
149345,-2.4,0.0001,SHISA4
6614,2.29,9.61E-07,SIGLEC1
89790,-3.35,0.0002,SIGLEC10
140885,-2.49,0.0003,SIRPA
10326,-3.05,1.12E-05,SIRPB1
284759,-3.6,4.02E-06,SIRPB2
128646,-2.09,5.24E-05,SIRPD
6556,-3.37,1.72E-05,SLC11A1
6563,-4.4,2.12E-05,SLC14A1
6573,-3.01,1.63E-05,SLC19A1
6510,-2.02,0.0011,SLC1A5
51312,-2.92,1.01E-05,SLC25A37
51629,-2.26,0.0216,SLC25A39
92745,-2.82,0.0044,SLC38A5
6521,-2.95,0.0127,SLC4A1
6535,-7.44,0.0001,SLC6A8
8140,-2.1,0.0039,SLC7A5
100506736,2.36,0.0001,SLFN12L
6622,-4.25,0.0005,SNCA
100302743,-2.26,5.12E-05,SNORA80B
6653,-2.81,1.33E-05,SORL1
55553,-2.29,0.0002,SOX6
26010,2.87,0.0004,SPATS2L
6693,4.12,5.44E-09,SPN
171546,2.4,8.36E-08,SPTSSA
85464,-2.3,9.03E-07,SSH2
6772,2.73,0.0105,STAT1
6773,2.82,0.0011,STAT2
6780,-2.09,3.00E-07,STAU1
3925,2.35,4.18E-06,STMN1
55437,-6.87,0.0009,STRADB
6809,-2.06,1.61E-05,STX3
55959,-2.29,0.0115,SULF2
27284,-2.45,0.0009,SULT1B1
8407,-2.38,1.44E-05,TAGLN2
6888,-2.09,0.0043,TALDO1
338398,-2.41,0.0018,TAS2R60
57533,-2.64,2.18E-06,TBC1D14
55633,-2.01,0.0087,TBC1D22B
219899,-2.61,5.34E-06,TBCEL
6907,-2.22,5.18E-05,TBL1X
255394,-3.79,5.66E-07,TCP11L2
54997,-2.61,0.0014,TESC
7049,2.26,0.0001,TGFBR3
8277,2.04,8.60E-07,TKTL1
7090,-2.61,2.11E-05,TLE3
7094,-2.19,0.0091,TLN1
51311,-2.99,6.29E-05,TLR8
23023,-2.05,0.0024,TMCC1
114908,3.72,7.80E-06,TMEM123
201799,-2.96,9.28E-05,TMEM154
84187,-2.01,0.0002,TMEM164
56063,-2.02,0.0001,TMEM234
55026,2.17,0.0003,TMEM255A
55362,-3.66,6.53E-05,TMEM63B
137835,-2.1,0.0004,TMEM71
7111,-3.31,0.0008,TMOD1
9168,2.2,0.0005,TMSB10
3604,-2.64,0.0004,TNFRSF9
66008,-2.2,0.0003,TRAK2
54210,-2.73,5.82E-05,TREM1
79865,-2.62,0.0001,TREML2
9830,2.44,1.51E-07,TRIM14
10346,3.24,3.60E-07,TRIM22
25893,-2.32,0.0048,TRIM58
10100,-2.28,0.0002,TSPAN2
10098,-5.26,4.81E-05,TSPAN5
81027,-2.62,0.0086,TUBB1
81567,3.13,2.80E-06,TXNDC5
7298,2.59,6.41E-06,TYMS
7314,-2.25,0.0068,UBB
7328,-2.58,0.0105,UBE2H
9246,4.2,0.0004,UBE2L6
80700,-2.7,0.0011,UBXN6
219333,-3.22,3.77E-06,USP12
11274,7.65,1.30E-06,USP18
373856,9.82,2.90E-06,USP41
8239,-2.03,2.45E-06,USP9X
8287,2.52,0.0163,USP9Y
23355,-2.04,0.0001,VPS8
80232,-2.21,7.29E-05,WDR26
79971,-2.58,0.0223,WLS
65125,-2.5,0.002,WNK1
54739,4.05,0.0013,XAF1
4904,-2.21,4.38E-05,YBX1
8531,-3.5,0.0007,YBX3
55432,-2.83,2.53E-05,YOD1
81030,3.56,3.06E-05,ZBP1
54877,2.98,0.0004,ZCCHC2
84243,-2.27,2.32E-05,ZDHHC18
10444,-2.63,0.0004,ZER1
51351,-2.36,0.028,ZNF117
25946,2.78,0.0024,ZNF385A
7791,-2.3,0.021,ZYX
